,city,geographic_area,share_white_x,share_black_x,share_native_american_x,share_asian_x,share_hispanic_x,share_white_y,share_black_y,share_native_american_y,share_asian_y,share_hispanic_y,median_income,percent_completed_hs,poverty_rate
206,cerritos city,CA,"23,10","6,90","0,30","61,90","12,00","23,10","6,90","0,30","61,90","12,00","90321,00","91,70","4,80"
207,chalfant cdp,CA,"91,20","0,00","2,00","0,80","10,30","91,20","0,00","2,00","0,80","10,30","66051,00","94,70","9,60"
208,challenge-brownsville cdp,CA,"87,60","0,90","2,70","0,40","7,80","87,60","0,90","2,70","0,40","7,80","35046,00","95,00","29,70"
209,channel islands beach cdp,CA,"87,40","0,90","0,50","3,50","13,00","87,40","0,90","0,50","3,50","13,00","96932,00","99,00","2,30"
210,charter oak cdp,CA,"60,20","4,40","0,90","11,10","48,80","60,20","4,40","0,90","11,10","48,80","61620,00","85,60","11,60"
211,cherokee strip cdp,CA,"37,00","0,00","1,80","0,00","82,40","37,00","0,00","1,80","0,00","82,40","28889,00","64,00","59,70"
212,cherryland cdp,CA,"41,00","11,50","1,40","9,50","54,00","41,00","11,50","1,40","9,50","54,00","51071,00","74,30","24,80"
213,cherry valley cdp,CA,"85,70","1,00","1,60","1,40","21,20","85,70","1,00","1,60","1,40","21,20","58383,00","85,20","9,80"
214,chester cdp,CA,"91,10","0,50","2,10","1,00","8,30","91,10","0,50","2,10","1,00","8,30","43106,00","93,00","13,60"
215,chico city,CA,"80,80","2,10","1,40","4,20","15,40","80,80","2,10","1,40","4,20","15,40","42342,00","92,00","24,90"
216,china lake acres cdp,CA,"85,30","1,90","1,50","0,90","14,10","85,30","1,90","1,50","0,90","14,10","23750,00","88,00","48,50"
217,chino city,CA,"56,40","6,20","1,00","10,50","53,80","56,40","6,20","1,00","10,50","53,80","72872,00","77,70","11,60"
218,chino hills city,CA,"50,80","4,60","0,50","30,30","29,10","50,80","4,60","0,50","30,30","29,10","96914,00","93,20","6,50"
219,chowchilla city,CA,"61,60","12,60","2,00","2,10","37,80","61,60","12,60","2,00","2,10","37,80","34559,00","68,30","32,10"
220,chualar cdp,CA,"28,30","0,10","0,20","0,90","96,70","28,30","0,10","0,20","0,90","96,70","57679,00","45,10","14,10"
221,chula vista city,CA,"53,70","4,60","0,80","14,40","58,20","53,70","4,60","0,80","14,40","58,20","65185,00","80,90","12,50"
222,citrus cdp,CA,"54,30","2,20","1,10","7,90","72,80","54,30","2,20","1,10","7,90","72,80","60553,00","73,20","13,90"
223,citrus heights city,CA,"80,30","3,30","0,90","3,30","16,50","80,30","3,30","0,90","3,30","16,50","50047,00","89,90","15,40"
224,claremont city,CA,"70,60","4,70","0,50","13,10","19,80","70,60","4,70","0,50","13,10","19,80","88523,00","93,20","8,20"
225,clarksburg cdp,CA,"81,10","0,50","0,50","3,80","26,10","81,10","0,50","0,50","3,80","26,10","69083,00","88,90","5,10"
226,clay cdp,CA,"82,10","0,50","2,00","0,70","20,30","82,10","0,50","2,00","0,70","20,30","72500,00","89,40","4,70"
227,clayton city,CA,"85,10","1,30","0,30","6,60","9,00","85,10","1,30","0,30","6,60","9,00","131563,00","98,90","4,00"
228,clear creek cdp,CA,"88,20","0,00","3,00","0,00","8,90","88,20","0,00","3,00","0,00","8,90","21771,00","84,30","48,80"
229,clearlake city,CA,"73,80","4,00","2,60","1,10","21,30","73,80","4,00","2,60","1,10","21,30","25404,00","79,10","37,50"
230,clearlake oaks cdp,CA,"87,10","2,30","1,90","1,40","8,10","87,10","2,30","1,90","1,40","8,10","27552,00","84,20","31,40"
231,clearlake riviera cdp,CA,"85,50","1,20","2,40","1,30","13,70","85,50","1,20","2,40","1,30","13,70","44637,00","85,60","22,10"
232,cleone cdp,CA,"83,80","0,20","0,50","0,50","20,10","83,80","0,20","0,50","0,50","20,10","40714,00","82,20","14,80"
233,cloverdale city,CA,"74,90","0,60","1,80","1,10","32,80","74,90","0,60","1,80","1,10","32,80","63917,00","82,40","6,70"
234,clovis city,CA,"70,90","2,70","1,40","10,70","25,60","70,90","2,70","1,40","10,70","25,60","62666,00","88,90","13,80"
235,coachella city,CA,"48,10","0,80","0,70","0,70","96,40","48,10","0,80","0,70","0,70","96,40","37497,00","51,20","31,60"
236,coalinga city,CA,"57,80","4,10","1,30","3,00","53,50","57,80","4,10","1,30","3,00","53,50","51860,00","73,00","23,20"
237,cobb cdp,CA,"91,40","0,80","1,70","0,70","6,40","91,40","0,80","1,70","0,70","6,40","80545,00","91,70","17,30"
238,coffee creek cdp,CA,"91,20","0,00","2,30","2,30","7,40","91,20","0,00","2,30","2,30","7,40","54500,00","89,80","12,70"
239,cohasset cdp,CA,"90,20","0,90","1,70","0,20","5,10","90,20","0,90","1,70","0,20","5,10","57292,00","94,90","11,50"
240,cold springs cdp (el dorado county),CA,"92,60","0,90","1,10","0,70","9,60","92,60","0,90","1,10","0,70","9,60","49886,00","97,00","29,00"
241,cold springs cdp (tuolumne county),CA,"96,70","0,60","1,70","0,60","2,20","96,70","0,60","1,70","0,60","2,20","33929,00","100,00","0,00"
242,coleville cdp,CA,"78,00","1,20","2,00","1,60","22,20","78,00","1,20","2,00","1,60","22,20","40278,00","100,00","0,00"
243,colfax city,CA,"89,60","0,20","1,30","1,50","9,10","89,60","0,20","1,30","1,50","9,10","48015,00","93,60","11,40"
244,college city cdp,CA,"71,40","0,00","1,70","0,30","46,20","71,40","0,00","1,70","0,30","46,20","66607,00","81,40","0,00"
245,collierville cdp,CA,"80,20","0,70","1,10","2,50","26,80","80,20","0,70","1,10","2,50","26,80","49375,00","82,90","18,90"
246,colma town,CA,"34,60","3,30","0,40","34,50","39,50","34,60","3,30","0,40","34,50","39,50","77337,00","84,60","15,30"
247,coloma cdp,CA,"87,30","0,80","0,60","1,50","11,90","87,30","0,80","0,60","1,50","11,90","77833,00","93,20","6,30"
248,colton city,CA,"43,40","9,70","1,30","5,00","71,00","43,40","9,70","1,30","5,00","71,00","41565,00","70,10","22,10"
249,columbia cdp,CA,"89,90","1,20","1,10","1,30","7,40","89,90","1,20","1,10","1,30","7,40","39487,00","90,30","12,90"
250,colusa city,CA,"66,10","0,90","1,80","1,30","52,40","66,10","0,90","1,80","1,30","52,40","47607,00","73,00","18,10"
251,commerce city,CA,"54,00","0,70","1,30","1,10","94,50","54,00","0,70","1,30","1,10","94,50","45341,00","55,00","16,00"
252,compton city,CA,"25,90","32,90","0,70","0,30","65,00","25,90","32,90","0,70","0,30","65,00","43507,00","60,10","26,60"
253,concord city,CA,"64,50","3,60","0,70","11,10","30,60","64,50","3,60","0,70","11,10","30,60","68318,00","87,10","13,30"
254,concow cdp,CA,"86,10","0,00","3,40","0,70","7,90","86,10","0,00","3,40","0,70","7,90","38319,00","92,70","22,40"
255,copperopolis cdp,CA,"90,40","0,80","1,20","1,00","12,40","90,40","0,80","1,20","1,00","12,40","60568,00","94,00","9,70"
256,corcoran city,CA,"36,00","15,00","1,40","0,80","62,60","36,00","15,00","1,40","0,80","62,60","31831,00","57,20","38,80"
257,corning city,CA,"71,90","0,60","2,60","1,10","42,70","71,90","0,60","2,60","1,10","42,70","31667,00","75,30","29,60"
258,corona city,CA,"59,70","5,90","0,80","9,90","43,60","59,70","5,90","0,80","9,90","43,60","74149,00","84,80","11,70"
259,coronado city,CA,"88,10","2,10","0,50","3,00","12,20","88,10","2,10","0,50","3,00","12,20","90256,00","98,00","6,00"
260,coronita cdp,CA,"63,20","1,50","1,20","4,10","51,70","63,20","1,50","1,20","4,10","51,70","75842,00","82,70","9,10"
261,corralitos cdp,CA,"85,10","0,70","0,50","2,10","22,90","85,10","0,70","0,50","2,10","22,90","83750,00","92,30","2,90"
262,corte madera town,CA,"84,40","0,90","0,20","6,80","8,30","84,40","0,90","0,20","6,80","8,30","122868,00","97,20","5,70"
263,costa mesa city,CA,"68,50","1,50","0,60","7,90","35,80","68,50","1,50","0,60","7,90","35,80","66459,00","84,70","14,50"
264,cotati city,CA,"81,60","1,70","1,00","3,90","17,30","81,60","1,70","1,00","3,90","17,30","61737,00","89,30","12,70"
265,coto de caza cdp,CA,"88,10","0,90","0,20","5,90","7,90","88,10","0,90","0,20","5,90","7,90","162589,00","98,50","3,60"
266,cottonwood cdp,CA,"85,80","0,10","3,00","3,30","10,60","85,80","0,10","3,00","3,30","10,60","39085,00","79,00","34,40"
267,country club cdp,CA,"61,20","5,00","1,70","6,70","40,40","61,20","5,00","1,70","6,70","40,40","44106,00","78,20","15,60"
268,covelo cdp,CA,"48,70","1,10","37,80","0,80","13,00","48,70","1,10","37,80","0,80","13,00","30458,00","88,20","40,70"
269,covina city,CA,"58,50","4,20","1,10","11,90","52,40","58,50","4,20","1,10","11,90","52,40","64813,00","86,00","10,90"
270,cowan cdp,CA,"86,20","0,00","0,60","0,00","50,60","86,20","0,00","0,60","0,00","50,60","33438,00","70,50","45,70"
271,crescent city city,CA,"66,10","11,90","4,80","4,40","30,60","66,10","11,90","4,80","4,40","30,60","27622,00","66,10","28,70"
272,cressey cdp,CA,"64,20","0,30","0,80","3,80","49,50","64,20","0,30","0,80","3,80","49,50","50625,00","76,50","26,30"
273,crest cdp,CA,"89,80","0,90","0,80","1,50","12,30","89,80","0,90","0,80","1,50","12,30","68816,00","93,00","8,10"
274,crestline cdp,CA,"86,20","1,00","1,30","0,90","16,50","86,20","1,00","1,30","0,90","16,50","49668,00","94,00","16,60"
275,crockett cdp,CA,"79,80","4,70","1,00","3,50","15,80","79,80","4,70","1,00","3,50","15,80","77250,00","94,70","9,70"
276,cromberg cdp,CA,"91,60","0,00","1,90","2,30","6,90","91,60","0,00","1,90","2,30","6,90","25417,00","91,70","20,50"
277,crowley lake cdp,CA,"87,90","0,50","0,70","1,30","14,60","87,90","0,50","0,70","1,30","14,60","89097,00","92,10","10,40"
278,crows landing cdp,CA,"45,60","1,40","0,30","0,00","69,90","45,60","1,40","0,30","0,00","69,90","30000,00","66,70","20,80"
279,cudahy city,CA,"49,20","1,40","1,00","0,60","96,00","49,20","1,40","1,00","0,60","96,00","36429,00","42,90","31,30"
280,culver city city,CA,"60,30","9,50","0,50","14,80","23,20","60,30","9,50","0,50","14,80","23,20","81189,00","92,20","8,90"
281,cupertino city,CA,"31,30","0,60","0,20","63,30","3,60","31,30","0,60","0,20","63,30","3,60","141953,00","96,70","3,70"
282,cutler cdp,CA,"48,40","1,00","1,10","1,30","96,60","48,40","1,00","1,10","1,30","96,60","29718,00","40,10","53,00"
283,cutten cdp,CA,"84,60","0,90","3,80","2,60","8,20","84,60","0,90","3,80","2,60","8,20","52798,00","98,40","11,80"
284,cuyama cdp,CA,"70,20","0,00","3,50","0,00","70,20","70,20","0,00","3,50","0,00","70,20","27159,00","42,20","62,60"
285,cypress city,CA,"54,40","3,00","0,60","31,30","18,40","54,40","3,00","0,60","31,30","18,40","81738,00","92,00","7,30"
286,daly city city,CA,"23,60","3,60","0,40","55,60","23,70","23,60","3,60","0,40","55,60","23,70","74449,00","85,40","9,70"
287,dana point city,CA,"86,10","0,90","0,70","3,20","17,00","86,10","0,90","0,70","3,20","17,00","84411,00","95,00","9,20"
288,danville town,CA,"83,10","0,90","0,20","10,50","6,80","83,10","0,90","0,20","10,50","6,80","140809,00","97,90","4,10"
289,davenport cdp,CA,"66,70","1,50","1,20","2,90","42,20","66,70","1,50","1,20","2,90","42,20","60625,00","73,70","6,10"
290,davis city,CA,"64,90","2,30","0,50","21,90","12,50","64,90","2,30","0,50","21,90","12,50","56463,00","96,10","28,80"
291,day valley cdp,CA,"85,00","0,60","0,70","2,50","13,80","85,00","0,60","0,70","2,50","13,80","75313,00","88,80","16,90"
292,deer park cdp,CA,"87,50","1,00","0,70","4,00","11,60","87,50","1,00","0,70","4,00","11,60","96058,00","95,10","13,60"
293,del aire cdp,CA,"60,50","4,60","0,60","9,20","47,20","60,50","4,60","0,60","9,20","47,20","74573,00","80,90","13,20"
294,delano city,CA,"36,40","7,90","0,90","12,70","71,50","36,40","7,90","0,90","12,70","71,50","35933,00","55,00","30,30"
295,delft colony cdp,CA,"46,90","2,90","0,00","0,00","94,30","46,90","2,90","0,00","0,00","94,30","6917,00","80,60","100,00"
296,delhi cdp,CA,"52,60","1,10","1,50","3,80","71,70","52,60","1,10","1,50","3,80","71,70","49716,00","55,50","17,30"
297,del mar city,CA,"94,00","0,20","0,20","2,80","4,20","94,00","0,20","0,20","2,80","4,20","107013,00","98,80","3,50"
298,del monte forest cdp,CA,"86,90","1,00","0,20","8,60","3,70","86,90","1,00","0,20","8,60","3,70","98646,00","98,60","9,80"
299,del rey cdp,CA,"45,10","0,40","0,70","2,10","93,60","45,10","0,40","0,70","2,10","93,60","23616,00","35,20","52,70"
300,del rey oaks city,CA,"81,70","1,00","0,70","7,90","10,40","81,70","1,00","0,70","7,90","10,40","86250,00","94,80","7,10"
301,del rio cdp,CA,"80,90","2,00","0,40","11,30","8,40","80,90","2,00","0,40","11,30","8,40","103966,00","96,80","0,00"
302,denair cdp,CA,"77,80","0,60","1,20","1,00","32,30","77,80","0,60","1,20","1,00","32,30","58802,00","71,30","31,30"
303,derby acres cdp,CA,"89,80","0,00","0,30","0,00","11,20","89,80","0,00","0,30","0,00","11,20","36563,00","74,30","27,50"
304,descanso cdp,CA,"90,70","0,40","2,00","1,10","10,50","90,70","0,40","2,00","1,10","10,50","68750,00","91,50","10,60"
305,desert center cdp,CA,"80,40","0,50","1,50","1,00","18,60","80,40","0,50","1,50","1,00","18,60","55139,00","83,20","31,50"
306,desert edge cdp,CA,"79,80","0,40","0,90","0,70","31,90","79,80","0,40","0,90","0,70","31,90","31261,00","79,60","25,30"
307,desert hot springs city,CA,"58,00","8,20","1,40","2,60","52,60","58,00","8,20","1,40","2,60","52,60","33027,00","67,70","34,90"
308,desert palms cdp,CA,"96,70","0,80","0,20","1,40","2,50","96,70","0,80","0,20","1,40","2,50","56766,00","98,40","8,30"
309,desert shores cdp,CA,"64,20","0,70","2,40","0,40","76,80","64,20","0,70","2,40","0,40","76,80","29625,00","38,80","28,50"
310,desert view highlands cdp,CA,"54,50","7,70","1,20","2,10","53,10","54,50","7,70","1,20","2,10","53,10","45268,00","81,40","13,30"
311,diablo cdp,CA,"92,00","0,10","0,20","4,70","3,40","92,00","0,10","0,20","4,70","3,40","199926,00","100,00","0,00"
312,diablo grande cdp,CA,"61,70","9,30","0,40","8,50","30,80","61,70","9,30","0,40","8,50","30,80","93839,00","88,30","2,00"
313,diamond bar city,CA,"33,20","4,10","0,30","52,50","20,10","33,20","4,10","0,30","52,50","20,10","89221,00","92,10","7,00"
314,diamond springs cdp,CA,"88,30","0,40","1,60","1,00","12,50","88,30","0,40","1,60","1,00","12,50","53079,00","87,10","16,30"
315,dillon beach cdp,CA,"94,00","0,00","1,10","1,40","3,20","94,00","0,00","1,10","1,40","3,20","45139,00","100,00","0,00"
316,dinuba city,CA,"52,00","0,70","0,90","2,10","84,40","52,00","0,70","0,90","2,10","84,40","36860,00","58,60","28,60"
317,discovery bay cdp,CA,"81,70","4,10","0,60","3,90","15,50","81,70","4,10","0,60","3,90","15,50","106529,00","96,30","5,90"
318,dixon city,CA,"71,00","3,10","1,00","3,70","40,50","71,00","3,10","1,00","3,70","40,50","72188,00","78,10","13,90"
319,dixon lane-meadow creek cdp,CA,"86,50","0,20","1,20","1,80","18,60","86,50","0,20","1,20","1,80","18,60","47440,00","86,60","7,60"
320,dogtown cdp,CA,"81,40","0,60","0,90","2,30","25,50","81,40","0,60","0,90","2,30","25,50","73333,00","85,50","7,50"
321,dollar point cdp,CA,"94,20","0,30","0,50","1,60","6,80","94,20","0,30","0,50","1,60","6,80","68967,00","93,90","14,10"
322,dorris city,CA,"81,40","2,00","1,90","0,50","21,00","81,40","2,00","1,90","0,50","21,00","28977,00","78,30","32,30"
323,dos palos city,CA,"68,20","3,40","1,30","0,70","62,10","68,20","3,40","1,30","0,70","62,10","33608,00","63,00","37,40"
324,dos palos y cdp,CA,"69,70","0,30","2,50","0,30","61,00","69,70","0,30","2,50","0,30","61,00","19219,00","50,70","35,30"
325,douglas city cdp,CA,"89,60","0,00","3,10","1,10","6,60","89,60","0,00","3,10","1,10","6,60","31776,00","94,10","40,80"
326,downey city,CA,"56,60","3,90","0,70","7,00","70,70","56,60","3,90","0,70","7,00","70,70","62897,00","76,10","11,40"
327,doyle cdp,CA,"86,00","2,10","5,50","0,40","8,10","86,00","2,10","5,50","0,40","8,10","20926,00","92,20","23,20"
328,drytown cdp,CA,"91,60","0,00","0,00","0,60","6,60","91,60","0,00","0,00","0,60","6,60","108333,00","35,80","4,10"
329,duarte city,CA,"51,90","7,40","0,80","15,80","47,80","51,90","7,40","0,80","15,80","47,80","62089,00","82,20","15,50"
330,dublin city,CA,"51,30","9,40","0,50","26,80","14,50","51,30","9,40","0,50","26,80","14,50","118773,00","92,00","4,00"
331,ducor cdp,CA,"41,00","0,00","2,50","3,30","82,00","41,00","0,00","2,50","3,30","82,00","29313,00","46,60","43,70"
332,dunnigan cdp,CA,"59,00","7,60","1,80","1,30","41,20","59,00","7,60","1,80","1,30","41,20","47898,00","75,80","27,10"
333,dunsmuir city,CA,"87,50","1,90","1,00","0,90","10,10","87,50","1,90","1,00","0,90","10,10","24770,00","88,30","24,50"
334,durham cdp,CA,"92,20","0,30","1,00","0,60","11,10","92,20","0,30","1,00","0,60","11,10","70374,00","97,50","17,20"
335,dustin acres cdp,CA,"82,70","0,60","1,40","0,20","19,80","82,70","0,60","1,40","0,20","19,80","59423,00","76,70","10,30"
336,dutch flat cdp,CA,"96,90","0,00","1,90","0,60","2,50","96,90","0,00","1,90","0,60","2,50","53512,00","100,00","0,00"
337,earlimart cdp,CA,"37,40","0,80","0,50","6,30","91,40","37,40","0,80","0,50","6,30","91,40","23803,00","35,20","53,10"
338,east foothills cdp,CA,"58,70","2,50","0,90","17,50","37,70","58,70","2,50","0,90","17,50","37,70","125037,00","91,60","6,60"
339,east hemet cdp,CA,"70,40","3,90","1,90","1,60","38,90","70,40","3,90","1,90","1,60","38,90","48513,00","81,20","19,50"
340,east los angeles cdp,CA,"50,50","0,60","1,20","0,90","97,10","50,50","0,60","1,20","0,90","97,10","38766,00","46,70","27,20"
341,east nicolaus cdp,CA,"70,70","0,00","0,40","8,40","21,80","70,70","0,00","0,40","8,40","21,80","27292,00","84,80","14,60"
342,east oakdale cdp,CA,"91,60","0,30","0,70","2,20","10,30","91,60","0,30","0,70","2,20","10,30","102462,00","97,60","3,70"
343,easton cdp,CA,"59,90","0,60","2,80","3,30","62,80","59,90","0,60","2,80","3,30","62,80","54345,00","73,10","12,60"
344,east orosi cdp,CA,"42,20","0,00","1,00","0,40","94,10","42,20","0,00","1,00","0,40","94,10","34896,00","37,20","61,40"
345,east palo alto city,CA,"28,80","16,70","0,40","3,80","64,50","28,80","16,70","0,40","3,80","64,50","52012,00","65,80","18,50"
346,east pasadena cdp,CA,"51,80","3,00","0,80","25,90","34,80","51,80","3,00","0,80","25,90","34,80","76523,00","89,90","12,20"
347,east porterville cdp,CA,"54,10","1,00","2,30","1,50","72,90","54,10","1,00","2,30","1,50","72,90","32162,00","45,50","36,20"
348,east quincy cdp,CA,"87,30","3,20","1,70","0,60","6,50","87,30","3,20","1,70","0,60","6,50","47346,00","92,20","21,20"
349,east rancho dominguez cdp,CA,"31,50","15,90","0,90","0,20","82,00","31,50","15,90","0,90","0,20","82,00","44127,00","52,70","23,80"
350,east richmond heights cdp,CA,"60,80","12,00","0,40","12,40","14,20","60,80","12,00","0,40","12,40","14,20","65438,00","95,20","10,60"
351,east san gabriel cdp,CA,"33,90","1,60","0,40","49,90","24,90","33,90","1,60","0,40","49,90","24,90","65833,00","87,40","11,10"
352,east shore cdp,CA,"91,70","0,00","4,50","0,60","4,50","91,70","0,00","4,50","0,60","4,50","60625,00","56,50","0,00"
353,east sonora cdp,CA,"94,00","0,30","0,70","1,40","6,70","94,00","0,30","0,70","1,40","6,70","40640,00","89,90","11,60"
354,east tulare villa cdp,CA,"63,10","1,20","0,80","1,30","55,00","63,10","1,20","0,80","1,30","55,00","50163,00","68,70","23,90"
355,edmundson acres cdp,CA,"38,70","1,80","1,10","0,40","80,60","38,70","1,80","1,10","0,40","80,60","38750,00","60,70","42,00"
356,edna cdp,CA,"95,90","0,00","1,60","0,00","11,40","95,90","0,00","1,60","0,00","11,40","75486,00","100,00","0,00"
357,edwards afb cdp,CA,"73,60","8,00","0,80","4,80","17,20","73,60","8,00","0,80","4,80","17,20","59554,00","99,20","10,00"
358,el cajon city,CA,"69,30","6,30","0,80","3,60","28,20","69,30","6,30","0,80","3,60","28,20","45925,00","80,40","24,20"
359,el centro city,CA,"59,60","2,50","1,30","2,30","81,60","59,60","2,50","1,30","2,30","81,60","40517,00","69,40","25,20"
360,el cerrito city,CA,"53,30","7,70","0,50","27,30","11,10","53,30","7,70","0,50","27,30","11,10","88737,00","93,80","9,00"
361,el cerrito cdp,CA,"69,50","1,80","1,10","1,90","52,10","69,50","1,80","1,10","1,90","52,10","60625,00","76,60","6,60"
362,el dorado hills cdp,CA,"83,30","1,50","0,50","8,50","9,00","83,30","1,50","0,50","8,50","9,00","119452,00","96,90","4,70"
363,eldridge cdp,CA,"80,10","0,80","0,20","2,90","26,40","80,10","0,80","0,20","2,90","26,40","54506,00","91,40","25,50"
364,el granada cdp,CA,"84,30","0,80","0,70","3,50","14,90","84,30","0,80","0,70","3,50","14,90","110434,00","92,50","3,90"
