geographic_area,city,share_white_x,share_black_x,share_native_american_x,share_asian_x,share_hispanic_x,share_white_y,share_black_y,share_native_american_y,share_asian_y,share_hispanic_y,median_income,percent_completed_hs,poverty_rate
PA,lumber city cdp,99.6,0.0,0.0,0.0,1.2,99.6,0.0,0.0,0.0,1.2,21940.0,83.1,17.7
PA,luzerne borough,97.6,0.6,0.2,0.2,2.1,97.6,0.6,0.2,0.2,2.1,34705.0,84.5,20.1
PA,lykens borough,96.6,0.1,0.0,1.1,2.2,96.6,0.1,0.0,1.1,2.2,38750.0,79.1,22.2
PA,lynnwood-pricedale cdp,96.3,2.0,0.0,0.6,0.5,96.3,2.0,0.0,0.6,0.5,44500.0,93.5,7.3
PA,lyons borough,97.3,0.8,0.0,0.8,1.9,97.3,0.8,0.0,0.8,1.9,46771.0,78.9,14.8
PA,mcadoo borough,95.4,0.9,0.1,0.3,8.5,95.4,0.9,0.1,0.3,8.5,37500.0,88.1,14.3
PA,mcalisterville cdp,98.6,0.4,0.0,0.2,0.9,98.6,0.4,0.0,0.2,0.9,43919.0,77.5,25.3
PA,mcclure borough,98.3,0.0,0.0,0.2,1.0,98.3,0.0,0.0,0.2,1.0,41955.0,80.9,11.4
PA,mcconnellsburg borough,92.5,4.2,0.2,0.1,0.5,92.5,4.2,0.2,0.1,0.5,36083.0,82.7,13.2
PA,mcconnellstown cdp,98.0,0.2,0.3,0.6,0.5,98.0,0.2,0.3,0.6,0.5,55804.0,94.8,8.7
PA,mcdonald borough,94.9,3.1,0.2,0.5,1.1,94.9,3.1,0.2,0.5,1.1,45478.0,87.1,12.3
PA,mcelhattan cdp,97.7,0.5,0.8,0.0,1.0,97.7,0.5,0.8,0.0,1.0,37273.0,88.3,10.4
